id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3781,100%,19%,t,3,6,t,f,East Boston,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,1,1,1,$125.00 ,29,1125,t,3,21,51,326,26,0,0,61,1,0,0,4.96,5,4.96,5,4.96,4.85,4.88,f,1,1,0,0,0.21
5506,100%,100%,t,12,15,t,t,Roxbury,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1,1,1,$129.00 ,3,90,t,3,28,58,67,138,9,0,67,10,54,6966,4.82,4.89,4.91,4.95,4.9,4.58,4.77,f,11,11,0,0,0.69
6695,100%,100%,t,12,15,t,t,Roxbury,42.32802,-71.09387,Entire condo,Entire home/apt,4,1,0,2,$168.00 ,3,730,t,2,17,47,56,141,8,0,56,8,48,8064,4.81,4.83,4.86,4.9,4.94,4.54,4.72,f,11,11,0,0,0.72
8789,100%,37%,t,8,32,t,t,Beacon Hill,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1,1,2,$140.00 ,91,365,t,0,0,3,277,29,0,0,12,1,0,0,4.69,4.69,4.55,4.93,4.97,4.97,4.59,f,4,4,0,0,0.21
10811,94%,59%,f,21,29,t,t,Back Bay,42.35173,-71.08685,Entire rental unit,Entire home/apt,3,1,0,1,$166.00 ,91,1125,t,30,60,79,218,9,0,0,79,0,0,0,4.33,4.44,4.67,4.56,4,5,4.67,f,12,12,0,0,0.08
10813,94%,59%,f,21,29,t,t,Back Bay,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1,0,1,$202.00 ,32,1125,t,0,0,0,117,6,1,0,1,0,64,12928,5,5,4.83,5,5,5,4.83,f,12,12,0,0,0.08
10986,94%,59%,f,21,29,t,t,North End,42.36377,-71.05206,Entire condo,Entire home/apt,2,1,0,1,$202.00 ,60,1125,t,14,25,55,330,2,1,0,65,1,120,24240,4.5,5,3.5,3.5,5,5,4,f,12,12,0,0,0.1
18711,84%,95%,f,60,97,t,t,Dorchester,42.32212,-71.06096,Entire rental unit,Entire home/apt,6,1,3,3,$162.00 ,30,360,t,0,0,11,286,51,0,0,21,0,0,0,4.3,4.5,4.71,4.56,4.46,4.24,4.48,f,58,18,40,0,0.27
29765,N/A,100%,f,1,4,t,t,Charlestown,42.37754,-71.06642,Entire rental unit,Entire home/apt,2,1,1,1,$323.00 ,2,28,t,1,1,1,173,103,2,0,1,2,12,3876,4.97,4.96,4.97,5,4.97,4.81,4.94,f,1,1,0,0,0.55
40601,100%,70%,t,1,1,t,t,Jamaica Plain,42.31347,-71.11082,Private room in home,Private room,2,1.5,1,1,$91.00 ,14,120,t,6,36,66,341,103,3,0,76,4,84,7644,4.98,4.95,5,4.97,4.94,4.93,4.93,f,1,0,1,0,0.56
45987,100%,100%,t,1,3,t,t,Charlestown,42.37424,-71.06081,Entire rental unit,Entire home/apt,3,1,1,1,$176.00 ,29,1125,t,0,14,44,44,143,3,0,44,4,174,30624,4.67,4.69,4.77,4.75,4.72,4.83,4.54,f,1,1,0,0,0.78
47521,96%,81%,f,7,9,t,t,Dorchester,42.29871,-71.05954,Entire home,Entire home/apt,2,1,0,1,$59.00 ,3,365,t,2,22,52,61,334,0,0,61,1,0,0,4.45,4.53,4.44,4.72,4.71,4.26,4.51,f,5,2,3,0,1.82
